Cust_ID,Gender_F_Flag,Gender_M_Flag,Residence_distance_from_store,time_in_store,accompanying_people,family_size,total_purchase_amount
1,1,0,1,49,0,4,113
2,1,0,4,52,3,4,959
3,1,0,4,51,1,5,1247
4,0,1,8,38,3,4,2116
5,1,0,2,52,4,6,1472
6,1,0,6,53,3,5,1664
7,1,0,6,52,1,6,1255
8,1,0,5,53,3,4,1446
9,0,1,4,38,4,5,1511
10,0,1,5,38,3,4,1067
11,0,1,3,37,3,6,1842
12,1,0,7,53,2,2,2011
13,1,0,2,52,5,4,1565
14,0,1,6,38,3,4,1373
15,1,0,3,51,2,4,898
16,1,0,8,54,4,3,2218
17,0,1,5,37,2,3,1403
18,1,0,3,51,1,3,1060
19,1,0,7,54,4,5,1949
20,1,0,8,51,0,6,1535
21,0,1,4,36,1,4,904
22,1,0,9,54,4,4,2410
23,1,0,2,52,5,3,1947
24,1,0,3,52,4,4,1766
25,1,0,4,51,1,5,1073
26,1,0,3,51,1,4,917
27,1,0,4,53,5,2,1603
28,0,1,4,38,5,4,1446
29,0,1,5,37,2,3,995
30,1,0,1,51,4,5,1066
31,0,1,4,38,4,5,1876
32,1,0,7,54,4,4,1678
33,0,1,2,34,0,3,985
34,1,0,7,54,4,4,2005
35,0,1,6,38,3,7,1403
36,1,0,3,52,3,5,1837
37,1,0,8,53,2,5,1689
38,1,0,5,54,6,3,2434
39,1,0,2,51,3,6,1152
40,1,0,4,52,3,3,1579
41,1,0,4,51,1,5,1465
42,1,0,3,51,2,4,1605
43,1,0,4,53,4,3,1917
44,0,1,3,36,2,4,1106
45,0,1,2,35,1,4,553
46,1,0,6,54,6,5,1997
47,0,1,9,39,3,3,1587
48,0,1,4,37,2,3,1637
49,1,0,6,52,2,3,1721
50,0,1,5,37,2,4,1281
51,1,0,7,53,3,4,1617
52,0,1,4,37,3,3,1449
53,1,0,8,53,2,3,1775
54,0,1,2,35,1,4,510
55,1,0,5,53,3,4,1387
56,1,0,1,49,0,3,1078
57,1,0,4,52,3,4,1694
58,1,0,4,52,2,5,1380
59,0,1,4,37,3,5,1282
60,0,1,2,37,5,5,1777
61,1,0,5,52,2,5,1175
62,0,1,7,37,1,3,1151
63,0,1,5,38,4,4,1787
64,1,0,4,54,6,3,2504
65,1,0,3,52,3,4,1274
66,1,0,6,54,6,4,1821
67,0,1,6,38,3,5,1298
68,1,0,3,52,4,5,1643
69,0,1,4,37,2,4,1335
70,1,0,4,52,3,4,1063
71,0,1,5,37,2,5,1341
72,0,1,7,40,8,4,2940
73,1,0,10,53,1,5,1836
74,1,0,2,49,0,2,993
75,1,0,5,53,3,4,1362
76,0,1,7,38,2,5,1674
77,1,0,3,50,0,5,1169
78,0,1,7,38,2,5,1593
79,0,1,8,36,0,6,1044
80,0,1,1,35,2,5,393
81,1,0,8,53,3,2,1787
82,1,0,7,52,1,3,1338
83,1,0,7,52,1,3,1169
84,0,1,6,36,0,4,864
85,1,0,7,53,3,5,1993
86,0,1,2,36,2,4,1392
87,1,0,7,54,5,5,2405
88,0,1,8,38,2,2,1441
89,1,0,6,52,2,5,1211
90,0,1,6,37,2,4,1613
91,1,0,5,52,2,3,981
92,1,0,8,54,4,2,2297
93,1,0,7,53,2,7,1700
94,0,1,4,37,2,3,742
95,0,1,4,37,2,4,1267
96,1,0,7,53,2,4,1405
97,0,1,8,38,2,3,1907
98,1,0,3,52,4,3,1805
99,0,1,5,36,1,3,1464
100,0,1,5,38,4,3,1354
101,1,0,3,52,4,3,1995
102,0,1,8,38,3,4,1814
103,1,0,5,55,8,2,2638
104,1,0,7,52,1,5,1487
105,1,0,4,54,6,4,2021
106,1,0,5,54,7,6,2265
107,1,0,3,51,2,5,776
108,1,0,2,52,5,5,1639
109,1,0,1,51,4,4,1726
110,1,0,2,52,5,6,1415
111,0,1,6,37,1,3,1600
112,1,0,3,53,6,5,2051
113,1,0,6,51,0,4,851
114,0,1,10,40,5,4,2642
115,1,0,6,52,2,5,1878
116,1,0,2,53,6,5,1233
117,1,0,5,54,5,4,2085
118,1,0,5,53,4,3,1719
119,1,0,6,53,3,4,1402
120,1,0,6,51,0,5,1397
121,1,0,2,52,5,6,1854
122,1,0,0,49,2,3,984
123,0,1,6,39,5,3,2215
124,0,1,5,35,0,5,1393
125,1,0,4,53,4,2,1710
126,0,1,2,37,4,4,1017
127,1,0,7,54,5,4,1848
128,1,0,5,51,1,3,1484
129,0,1,10,40,6,3,2365
130,0,1,7,37,1,4,1687
131,1,0,5,53,4,3,1748
132,1,0,4,52,2,3,1935
133,1,0,8,54,5,4,1990
134,1,0,8,53,2,3,1968
135,1,0,4,54,7,6,2258
136,0,1,5,38,3,5,1602
137,1,0,3,52,3,3,1078
138,1,0,6,52,1,4,1293
139,1,0,2,52,4,3,1746
140,1,0,7,52,1,4,1973
141,0,1,6,37,2,3,1418
142,1,0,3,51,1,4,909
143,1,0,6,52,2,4,1080
144,1,0,7,54,4,4,2083
145,1,0,4,52,2,5,1517
146,1,0,9,52,1,4,1767
147,1,0,3,52,3,4,1555
148,0,1,5,39,6,3,1691
149,1,0,2,51,2,4,1315
150,1,0,7,54,4,4,2416
151,0,1,7,38,2,5,1719
152,1,0,7,53,2,5,1888
153,1,0,7,52,1,5,1590
154,1,0,4,52,2,4,1180
155,1,0,3,51,1,3,737
156,0,1,3,37,3,3,1222
157,1,0,6,53,3,4,1210
158,0,1,4,37,2,4,1144
159,1,0,3,52,3,2,1659
160,0,1,4,38,4,5,1632
161,1,0,8,55,6,4,2448
162,0,1,3,38,5,3,1436
163,1,0,2,51,3,3,912
164,1,0,4,52,2,4,1503
165,0,1,7,38,2,5,1772
166,1,0,7,53,2,4,1557
167,1,0,5,54,6,4,1976
